path_name_sentinel2,satellite,imagery_id,date,tile_id,saving_path,coordinates,if_fire
../datasets/sentinel2/S2A_10UDU_20210627_0_L2A/20210627/tiles/3_3,sentinel2,S2A_10UDU_20210627_0_L2A,2021-06-27,3_3,../prepared_dataset/20210627/3_3,"POLYGON ((-130.0431945012966 48.54101501413099, -129.93916138168166 48.5419107261975, -129.93788566570646 48.47282773585319, -130.04177753048532 48.47193418299282, -130.0431945012966 48.54101501413099))",False
../datasets/sentinel2/S2A_10UDU_20210627_0_L2A/20210627/tiles/1_0,sentinel2,S2A_10UDU_20210627_0_L2A,2021-06-27,1_0,../prepared_dataset/20210627/1_0,"POLYGON ((-130.35896158173583 48.675907349440955, -130.25466224896843 48.677090679284284, -130.25294992462867 48.608016601416786, -130.35710701535717 48.60683612543683, -130.35896158173583 48.675907349440955))",False
../datasets/sentinel2/S2A_10UDU_20210627_0_L2A/20210627/tiles/0_4,sentinel2,S2A_10UDU_20210627_0_L2A,2021-06-27,0_4,../prepared_dataset/20210627/0_4,"POLYGON ((-129.94301766388796 48.74915454749164, -129.8385526442991 48.74996209212085, -129.83740523109327 48.68087972803919, -129.9417273571734 48.680074131878804, -129.94301766388796 48.74915454749164))",False
../datasets/sentinel2/S2A_10UDU_20210627_0_L2A/20210627/tiles/0_3,sentinel2,S2A_10UDU_20210627_0_L2A,2021-06-27,0_3,../prepared_dataset/20210627/0_3,"POLYGON ((-130.04747777245979 48.7482523225942, -129.94301766388796 48.74915454749164, -129.9417273571734 48.680074131878804, -130.04604459607495 48.679174083824236, -130.04747777245979 48.7482523225942))",False
../datasets/sentinel2/S2A_10UDU_20210627_0_L2A/20210627/tiles/2_0,sentinel2,S2A_10UDU_20210627_0_L2A,2021-06-27,2_0,../prepared_dataset/20210627/2_0,"POLYGON ((-130.35710701535717 48.60683612543683, -130.25294992462867 48.608016601416786, -130.25124407808562 48.538941645820074, -130.35525946446558 48.53776401597783, -130.35710701535717 48.60683612543683))",False
../datasets/sentinel2/S2A_10UDU_20210627_0_L2A/20210627/tiles/4_4,sentinel2,S2A_10UDU_20210627_0_L2A,2021-06-27,4_4,../prepared_dataset/20210627/4_4,"POLYGON ((-129.93788566570646 48.47282773585319, -129.8339889843084 48.47362751823729, -129.83285882993277 48.40454174190737, -129.93661476637655 48.40374388699589, -129.93788566570646 48.47282773585319))",False
../datasets/sentinel2/S2A_10UDU_20210627_0_L2A/20210627/tiles/4_3,sentinel2,S2A_10UDU_20210627_0_L2A,2021-06-27,4_3,../prepared_dataset/20210627/4_3,"POLYGON ((-130.04177753048532 48.47193418299282, -129.93788566570646 48.47282773585319, -129.93661476637655 48.40374388699589, -130.0403659094067 48.40285248752335, -130.04177753048532 48.47193418299282))",False
../datasets/sentinel2/S2A_10UDU_20210627_0_L2A/20210627/tiles/2_1,sentinel2,S2A_10UDU_20210627_0_L2A,2021-06-27,2_1,../prepared_dataset/20210627/2_1,"POLYGON ((-130.25294992462867 48.608016601416786, -130.14878635613871 48.609102891238116, -130.14722224526233 48.54002531647069, -130.25124407808562 48.538941645820074, -130.25294992462867 48.608016601416786))",False
../datasets/sentinel2/S2A_10UDU_20210627_0_L2A/20210627/tiles/0_2,sentinel2,S2A_10UDU_20210627_0_L2A,2021-06-27,0_2,../prepared_dataset/20210627/0_2,"POLYGON ((-130.15193242649036 48.74725542899212, -130.04747777245979 48.7482523225942, -130.04604459607495 48.679174083824236, -130.15035640690996 48.67817959538673, -130.15193242649036 48.74725542899212))",False
../datasets/sentinel2/S2A_10UDU_20210627_0_L2A/20210627/tiles/0_5,sentinel2,S2A_10UDU_20210627_0_L2A,2021-06-27,0_5,../prepared_dataset/20210627/0_5,"POLYGON ((-129.8385526442991 48.74996209212085, -129.73408325737915 48.750674946130836, -129.73307875888267 48.68159086200116, -129.83740523109327 48.68087972803919, -129.8385526442991 48.74996209212085))",False
../datasets/sentinel2/S2A_10UDU_20210627_0_L2A/20210627/tiles/3_0,sentinel2,S2A_10UDU_20210627_0_L2A,2021-06-27,3_0,../prepared_dataset/20210627/3_0,"POLYGON ((-130.35525946446558 48.53776401597783, -130.25124407808562 48.538941645820074, -130.24954467802087 48.469865812458856, -130.35341889514635 48.46869102106859, -130.35525946446558 48.53776401597783))",False
../datasets/sentinel2/S2A_10UDU_20210627_0_L2A/20210627/tiles/5_4,sentinel2,S2A_10UDU_20210627_0_L2A,2021-06-27,5_4,../prepared_dataset/20210627/5_4,"POLYGON ((-129.93661476637655 48.40374388699589, -129.83285882993277 48.40454174190737, -129.83173293832067 48.335455112118055, -129.9353486604861 48.33465917949764, -129.93661476637655 48.40374388699589))",False
../datasets/sentinel2/S2A_10UDU_20210627_0_L2A/20210627/tiles/3_1,sentinel2,S2A_10UDU_20210627_0_L2A,2021-06-27,3_1,../prepared_dataset/20210627/3_1,"POLYGON ((-130.25124407808562 48.538941645820074, -130.14722224526233 48.54002531647069, -130.14566404556047 48.47094687101247, -130.24954467802087 48.469865812458856, -130.25124407808562 48.538941645820074))",False
../datasets/sentinel2/S2A_10UDU_20210627_0_L2A/20210627/tiles/0_0,sentinel2,S2A_10UDU_20210627_0_L2A,2021-06-27,0_0,../prepared_dataset/20210627/0_0,"POLYGON ((-130.36082319774528 48.74497768798867, -130.25638108263476 48.74616387946116, -130.25466224896843 48.677090679284284, -130.35896158173583 48.675907349440955, -130.36082319774528 48.74497768798867))",False
../datasets/sentinel2/S2A_10UDU_20210627_0_L2A/20210627/tiles/0_1,sentinel2,S2A_10UDU_20210627_0_L2A,2021-06-27,0_1,../prepared_dataset/20210627/0_1,"POLYGON ((-130.25638108263476 48.74616387946116, -130.15193242649036 48.74725542899212, -130.15035640690996 48.67817959538673, -130.25466224896843 48.677090679284284, -130.25638108263476 48.74616387946116))",False
../datasets/sentinel2/S2A_10UCV_20210418_1_L2A/20210418/tiles/3_4,sentinel2,S2A_10UCV_20210418_1_L2A,2021-04-18,3_4,../prepared_dataset/20210418/3_4,"POLYGON ((-131.33426378190975 49.421919452331444, -131.22844771964967 49.42400808695786, -131.22532598144235 49.354978669129, -131.33099413051323 49.35289508713842, -131.33426378190975 49.421919452331444))",False
