path_name_sentinel2,satellite,imagery_id,date,tile_id,saving_path,coordinates
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/3_4,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,3_4,../prepared_dataset/20220809/3_4,"(-125.7607154787941, 50.29994118390697),(-125.65306262838969, 50.29688850061719),(-125.65789652279332, 50.22793508254463),(-125.7653945658079, 50.23098034961218)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/3_3,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,3_3,../prepared_dataset/20220809/3_3,"(-125.8683865696154, 50.30289429674448),(-125.7607154787941, 50.29994118390697),(-125.7653945658079, 50.23098034961218),(-125.8729107570619, 50.233926287225614)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/9_4,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,9_4,../prepared_dataset/20220809/9_4,"(-125.788519596963, 49.88615910147051),(-125.68178668873446, 49.883150599476885),(-125.68650951329917, 49.81419023410448),(-125.79309115436176, 49.81719144551092)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/9_3,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,9_3,../prepared_dataset/20220809/9_3,"(-125.89527020203685, 49.88906946882801),(-125.788519596963, 49.88615910147051),(-125.79309115436176, 49.81719144551092),(-125.89969040385189, 49.82009475923514)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/12_5,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,12_5,../prepared_dataset/20220809/12_5,"(-125.69590068808976, 49.67626604565151),(-125.58963785229653, 49.67318196741235),(-125.59445583014147, 49.604225611114565),(-125.70056921905206, 49.60730222530233)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/10_8,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,10_8,../prepared_dataset/20220809/10_8,"(-125.3668760355906, 49.8045996168394),(-125.2603706199349, 49.801207224147745),(-125.26567707018853, 49.732277145052215),(-125.37203217836218, 49.73566132443381)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/12_2,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,12_2,../prepared_dataset/20220809/12_2,"(-126.0147949435164, 49.684933805700545),(-125.90847980808762, 49.682142003459184),(-125.91284917979793, 49.61316395958212),(-126.01901460852237, 49.615949002703516)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/10_6,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,10_6,../prepared_dataset/20220809/10_6,"(-125.57994606047134, 49.81109116468042),(-125.47340137505778, 49.80789427818403),(-125.47840711109475, 49.73894800799162),(-125.5848012933735, 49.742137152425435)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/5_1,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,5_1,../prepared_dataset/20220809/5_1,"(-126.09219296293833, 50.17053730067159),(-125.98479674563274, 50.16779681257179),(-125.98913212677263, 50.09881967053217),(-126.09637446480545, 50.101553504186)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/9_2,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,9_2,../prepared_dataset/20220809/9_2,"(-126.00203792064691, 49.89188166298838),(-125.89527020203685, 49.88906946882801),(-125.89969040385189, 49.82009475923514),(-126.00630668135425, 49.822900136894816)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/9_5,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,9_5,../prepared_dataset/20220809/9_5,"(-125.68178668873446, 49.883150599476885),(-125.57507206004699, 49.880044002696344),(-125.57994606047134, 49.81109116468042),(-125.68650951329917, 49.81419023410448)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/3_2,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,3_2,../prepared_dataset/20220809/3_2,"(-125.97607529975805, 50.30574779947244),(-125.8683865696154, 50.30289429674448),(-125.8729107570619, 50.233926287225614),(-125.9804444984755, 50.236772855913266)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/13_10,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,13_10,../prepared_dataset/20220809/13_10,"(-125.1701928584716, 49.59094846429792),(-125.06417760666498, 49.58738672272787),(-125.0697200464462, 49.51846991797989),(-125.17558690813111, 49.52202304854177)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/10_0,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,10_0,../prepared_dataset/20220809/10_0,"(-126.21958799581242, 49.82821693691288),(-126.11293940586515, 49.82560754139166),(-126.11704077731176, 49.75661836131325),(-126.22353834592882, 49.75922143301064)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/10_7,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,10_7,../prepared_dataset/20220809/10_7,"(-125.47340137505778, 49.80789427818403),(-125.3668760355906, 49.8045996168394),(-125.37203217836218, 49.73566132443381),(-125.47840711109475, 49.73894800799162)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/12_3,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,12_3,../prepared_dataset/20220809/12_3,"(-125.90847980808762, 49.682142003459184),(-125.80218153138314, 49.67925273743341),(-125.80670052602389, 49.61028168783075),(-125.91284917979793, 49.61316395958212)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/12_4,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,12_4,../prepared_dataset/20220809/12_4,"(-125.80218153138314, 49.67925273743341),(-125.69590068808976, 49.67626604565151),(-125.70056921905206, 49.60730222530233),(-125.80670052602389, 49.61028168783075)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/10_9,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,10_9,../prepared_dataset/20220809/10_9,"(-125.2603706199349, 49.801207224147745),(-125.15388570526942, 49.79771714488544),(-125.15934236090588, 49.728795514416355),(-125.26567707018853, 49.732277145052215)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/12_10,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,12_10,../prepared_dataset/20220809/12_10,"(-125.16477804389937, 49.659872620236534),(-125.05861383466667, 49.656302243545156),(-125.06417760666498, 49.58738672272787),(-125.1701928584716, 49.59094846429792)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/12_11,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,12_11,../prepared_dataset/20220809/12_11,"(-125.05861383466667, 49.656302243545156),(-124.95247106383395, 49.65263474277495),(-124.95818368695447, 49.58372809066878),(-125.06417760666498, 49.58738672272787)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/13_8,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,13_8,../prepared_dataset/20220809/13_8,"(-125.38228508846116, 49.59778109054588),(-125.27622887507313, 49.594413268709154),(-125.28147443181047, 49.52547947510624),(-125.38738205225935, 49.5288391524663)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/4_2,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,4_2,../prepared_dataset/20220809/4_2,"(-125.9804444984755, 50.236772855913266),(-125.8729107570619, 50.233926287225614),(-125.87741739424553, 50.164957158072596),(-125.98479674563274, 50.16779681257179)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/11_5,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,11_5,../prepared_dataset/20220809/11_5,"(-125.69121414952446, 49.74522871570633),(-125.5848012933735, 49.742137152425435),(-125.58963785229653, 49.67318196741235),(-125.69590068808976, 49.67626604565151)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/13_6,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,13_6,../prepared_dataset/20220809/13_6,"(-125.59445583014147, 49.604225611114565),(-125.48836092993919, 49.60105188564833),(-125.49330920357048, 49.53210203666511),(-125.59925531917294, 49.53526808499805)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/13_1,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,13_1,../prepared_dataset/20220809/13_1,"(-126.1251962397719, 49.61863678060843),(-126.01901460852237, 49.615949002703516),(-126.0232180709109, 49.546963109501284),(-126.12925048750496, 49.54964438188233)"
../datasets/sentinel2/S2B_9UYR_20220809_0_L2A/20220809/tiles/8_7,sentinel2,S2B_9UYR_20220809_0_L2A,20220809,8_7,../prepared_dataset/20220809/8_7,"(-125.46333176774317, 49.94578322862888),(-125.35650387832956, 49.94247254399866),(-125.36169996889305, 49.87353669060245),(-125.46837629296328, 49.87683935226469)"
