ID,split,imagery_id,date,coordinates,if_fire,data_path,mask_path
20210413_15,train,S2B_10UCA_20210413_0_L2A,2021-04-13,"POLYGON ((-131.7809675056921 49.828203600273625, -131.67430371052106 49.830715463024084, -131.67050367085986 49.76171390335328, -131.77701636880613 49.759208128694205, -131.7809675056921 49.828203600273625))",False,image_directory_20210413_15,mask_directory_20210413_15
20210413_24,train,S2B_9UYR_20210413_0_L2A,2021-04-13,"POLYGON ((-125.67704558452314 49.95210981044753, -125.5701791979101 49.948995664984565, -125.57507206004699 49.880044002696344, -125.68178668873446 49.883150599476885, -125.67704558452314 49.95210981044753))",False,image_directory_20210413_24,mask_directory_20210413_24
20210413_26,train,S2B_10UCB_20210413_1_L2A,2021-04-13,"POLYGON ((-130.63272561095894 50.61099722127771, -130.5242211402473 50.6124676147716, -130.52199398143796 50.543424617044714, -130.63034007339527 50.54195780767691, -130.63272561095894 50.61099722127771))",False,image_directory_20210413_26,mask_directory_20210413_26
20210413_29,train,S2B_9UXR_20210413_0_L2A,2021-04-13,"POLYGON ((-126.32028067944972 49.9687669997153, -126.21331262354327 49.96624496182609, -126.21729123871425 49.89725147508932, -126.32410702760176 49.89976739528831, -126.32028067944972 49.9687669997153))",False,image_directory_20210413_29,mask_directory_20210413_29
20210413_33,test,S2B_9UXR_20210413_0_L2A,2021-04-13,"POLYGON ((-126.5092231510031 50.45656499061053, -126.40114244090718 50.45420015315819, -126.40491773175115 50.38520185350169, -126.51284183944938 50.387560936111214, -126.5092231510031 50.45656499061053))",False,image_directory_20210413_33,mask_directory_20210413_33
20210413_40,val,S2B_10UCA_20210413_0_L2A,2021-04-13,"POLYGON ((-131.34754668578682 49.69962467254448, -131.24112974192582 49.70173377945951, -131.23795934786818 49.63270828644662, -131.34422607870374 49.63060428938158, -131.34754668578682 49.69962467254448))",False,image_directory_20210413_40,mask_directory_20210413_40
20210413_44,val,S2B_10UCV_20210413_0_L2A,2021-04-13,"POLYGON ((-131.76906793699982 49.61959687453513, -131.6628592044407 49.62209038267372, -131.65910317633998 49.553085684076976, -131.76516255576632 49.55059821246704, -131.76906793699982 49.61959687453513))",False,image_directory_20210413_44,mask_directory_20210413_44
20210418_11,train,S2A_9UXR_20210418_1_L2A,2021-04-18,"POLYGON ((-126.52003704052083 50.24954979233711, -126.41242431786706 50.24720216975947, -126.4161557615768 50.17820078707396, -126.52361369547198 50.18054270428577, -126.52003704052083 50.24954979233711))",False,image_directory_20210418_11,mask_directory_20210418_11
20210418_20,train,S2A_9UXR_20210418_1_L2A,2021-04-18,"POLYGON ((-126.31643949143137 50.03776556320229, -126.20931857999868 50.03523739021615, -126.21331262354327 49.96624496182609, -126.32028067944972 49.9687669997153, -126.31643949143137 50.03776556320229))",False,image_directory_20210418_20,mask_directory_20210418_20
20210418_28,train,S2A_9UYQ_20210418_1_L2A,2021-04-18,"POLYGON ((-125.38750127772715 49.52722331125193, -125.28159713312724 49.52386382450529, -125.28682212315464 49.454928767448685, -125.3925782539561 49.458280132953284, -125.38750127772715 49.52722331125193))",False,image_directory_20210418_28,mask_directory_20210418_28
20210418_30,train,S2A_10UDU_20210418_1_L2A,2021-04-18,"POLYGON ((-130.35710701535717 48.60683612543683, -130.25294992462867 48.608016601416786, -130.25124407808562 48.538941645820074, -130.35525946446558 48.53776401597783, -130.35710701535717 48.60683612543683))",False,image_directory_20210418_30,mask_directory_20210418_30
20210418_36,test,S2A_10UCU_20210418_1_L2A,2021-04-18,"POLYGON ((-130.3587344156348 48.60681693325166, -130.25457743038822 48.60799888077396, -130.25286936946713 48.53892396790285, -130.35688465087512 48.537744870064095, -130.3587344156348 48.60681693325166))",False,image_directory_20210418_36,mask_directory_20210418_36
20210418_4,train,S2A_9UYR_20210418_1_L2A,2021-04-18,"POLYGON ((-126.12112636240417 49.68762810740147, -126.0147949435164 49.684933805700545, -126.01901460852237 49.615949002703516, -126.1251962397719 49.61863678060843, -126.12112636240417 49.68762810740147))",True,image_directory_20210418_4,mask_directory_20210418_4
20210513_22,train,S2B_9UYR_20210513_0_L2A,2021-05-13,"POLYGON ((-126.09219296293833 50.17053730067159, -125.98479674563274 50.16779681257179, -125.98913212677263 50.09881967053217, -126.09637446480545 50.101553504186, -126.09219296293833 50.17053730067159))",False,image_directory_20210513_22,mask_directory_20210513_22
20210513_3,train,S2B_9UXR_20210513_1_L2A,2021-05-13,"POLYGON ((-126.63108549894987 50.182785284518225, -126.52361369547198 50.18054270428577, -126.5271764807589 50.111534606270425, -126.63449402401703 50.11377173824659, -126.63108549894987 50.182785284518225))",True,image_directory_20210513_3,mask_directory_20210513_3
